disrict,client_id,client_catg,region,creation_date,transactions_count,consommation_level_1_mean,consommation_level_2_mean,consommation_level_3_mean,consommation_level_4_mean,tarif_type_max,reading_remarque_max,index_change_mean,diff_dates_median,anomaly_scores,anomaly
69,test_Client_10028,11,106,22/05/2013,9,1111.111111111111,1281.6666666666667,844.4444444444445,3275.222222222222,11,9,-0.1111111111111111,120.0,-0.10798846775791582,-1
60,test_Client_1003,11,101,15/02/2010,25,1072.0,4991.72,544.0,6878.2,11,9,0.04,120.0,-0.11244295575457464,-1
60,test_Client_10034,11,101,12/07/1984,58,580.2758620689655,4439.741379310345,121.98275862068965,1175.0,11,9,-0.017241379310344827,31.0,-0.05636907737388219,-1
69,test_Client_10041,11,104,17/12/2018,2,800.0,400.0,771.5,1552.0,11,9,0.5,106.0,-0.09585521650658702,-1
60,test_Client_10045,11,101,02/01/2017,5,3800.2,180.0,143.8,0.0,40,9,0.2,113.0,-0.01703643973818736,-1
60,test_Client_10050,11,101,08/07/2003,3,1868.3333333333333,385.6666666666667,0.0,0.0,11,6,0.3333333333333333,117.0,-0.01107234938115731,-1
69,test_Client_10079,11,107,05/02/1985,1,194.0,0.0,0.0,0.0,11,6,1.0,0.0,-0.02150996801628735,-1
63,test_Client_10085,11,306,10/12/2007,1,364.0,0.0,0.0,0.0,11,6,1.0,0.0,-0.0017126892810379601,-1
60,test_Client_10126,11,101,13/02/2008,5,480.0,1501.8,0.0,0.0,40,6,0.2,0.0,-0.03415915371725631,-1
69,test_Client_10135,11,103,04/12/2012,18,845.2222222222222,400.0,800.0,6699.611111111111,11,9,0.05555555555555555,115.5,-0.09044597524535403,-1
69,test_Client_10175,11,107,04/12/2013,11,509.09090909090907,254.54545454545453,475.90909090909093,686.3636363636364,11,9,0.09090909090909091,89.0,-0.017176100572606434,-1
69,test_Client_1019,51,107,13/07/1990,208,503.6298076923077,748.7067307692307,45.19230769230769,135.27403846153845,40,9,-0.009615384615384616,2.0,-0.13498707965433943,-1
60,test_Client_10225,51,101,03/12/2007,30,918.2333333333333,3823.2,240.0,1263.3666666666666,11,9,0.03333333333333333,57.0,-0.12929020444634787,-1
62,test_Client_10247,11,302,20/05/1980,1,200.0,506.0,0.0,0.0,10,6,1.0,0.0,-0.02757758243646269,-1
62,test_Client_10258,51,309,07/07/2010,1,300.0,517.0,0.0,0.0,11,6,1.0,0.0,-0.10798903752461164,-1
69,test_Client_10260,11,107,11/08/2010,38,1084.6315789473683,493.7368421052632,301.63157894736844,607.8947368421053,40,9,0.02631578947368421,44.5,-0.033468420318229386,-1
60,test_Client_10274,51,101,07/03/2008,14,383.92857142857144,1377.7142857142858,0.0,0.0,11,9,0.07142857142857142,15.0,-0.0529482876543812,-1
60,test_Client_1029,11,101,05/05/1980,2,0.5,0.0,0.0,0.0,40,6,0.5,0.0,-0.007732088074746901,-1
62,test_Client_10300,51,305,23/02/2016,20,221.0,110.0,220.0,1385.3,11,9,0.05,11.5,-0.09166538928234569,-1
62,test_Client_10314,11,301,13/02/2018,1,45.0,0.0,0.0,0.0,11,6,1.0,7224.0,-0.09076728584016869,-1
63,test_Client_10321,51,306,05/08/2008,29,616.0689655172414,281.0344827586207,27.586206896551722,1.2758620689655173,40,9,0.034482758620689655,119.0,-0.05016526435197399,-1
60,test_Client_1036,11,101,13/05/2013,13,1015.3846153846154,2146.5384615384614,804.1538461538462,5953.384615384615,11,9,0.07692307692307693,43.0,-0.10746264346075696,-1
60,test_Client_10376,11,101,17/07/2008,1,145.0,0.0,0.0,0.0,10,6,1.0,732.0,-0.053848313005889104,-1
63,test_Client_1038,11,399,16/03/2010,4,0.0,0.0,0.0,0.0,40,6,0.0,0.0,-0.015094854832831905,-1
60,test_Client_10389,11,101,28/11/2011,18,955.5555555555555,1337.5555555555557,492.27777777777777,1148.2777777777778,11,9,0.05555555555555555,111.0,-0.02567426352374924,-1
69,test_Client_10403,51,104,26/08/1996,205,625.1560975609756,396.2,33.21951219512195,153.64878048780488,40,9,-0.00975609756097561,0.0,-0.12039014111590707,-1
